l n daughter parent cfp_float
2 4 3D1 2P1 -2.581988897471610977518708E-01
2 4 3D1 2D2 5.345224838248487930769670E-01
2 4 3D1 2F1 -3.162277660168379411764761E-01
2 4 3D1 2G1 4.629100498862757095963616E-01
2 4 3F1 4P1 -2.581988897471610977518708E-01
2 4 3F1 4F1 5.163977794943221955037416E-01
2 4 3F1 2P1 1.380131118684708446675558E-01
2 4 3F1 2D1 6.123724356957944703339081E-01
2 4 3F1 2D2 1.336306209562121982692418E-01
2 4 3F1 2F1 -1.290994448735805488759354E-01
2 4 3F1 2G1 3.273268353539885433534096E-01
2 4 3F1 2H1 3.618734322278729376165529E-01
2 4 3F2 4P1 -5.163977794943221955037416E-01
2 4 3F2 4F1 -2.581988897471610977518708E-01
2 4 3F2 2P1 -3.450327796711771255466772E-01
2 4 3F2 2D2 2.672612419124243965384835E-01
2 4 3F2 2F1 -3.227486121839513999454141E-01
2 4 3F2 2G1 -4.909902530309828705412656E-01
2 4 3F2 2H1 3.618734322278729376165529E-01
2 4 3G1 4F1 -5.773502691896257310588680E-01
2 4 3G1 2D2 3.450327796711771255466772E-01
2 4 3G1 2F1 4.330127018922192982941510E-01
2 4 3G1 2G1 4.204589329360410854263819E-01
2 4 3G1 2H1 4.281744192888376487893254E-01
2 4 3H1 4F1 5.773502691896257310588680E-01
2 4 3H1 2F1 2.886751345948128655294340E-01
2 4 3H1 2G1 -3.872983346207417021389574E-01
2 4 3H1 2H1 6.582805886043833210052867E-01
2 4 1S1 2D1 1.000000000000000000000000E+00
2 4 1S2 2D2 1.000000000000000000000000E+00
2 4 1D1 2P1 -3.872983346207417021389574E-01
2 4 1D1 2D1 6.123724356957944703339081E-01
2 4 1D1 2D2 4.008918628686365948077253E-01
2 4 1D1 2F1 3.162277660168379411764761E-01
2 4 1D1 2G1 -4.629100498862757095963616E-01
2 4 1D2 2P1 5.477225575051660744207993E-01
2 4 1D2 2D2 3.779644730092272530974640E-01
2 4 1D2 2F1 6.708203932499369193109828E-01
2 4 1D2 2G1 3.273268353539885433534096E-01
2 4 1F1 2P1 4.629100498862757095963616E-01
2 4 1F1 2D2 5.976143046671967828942229E-01
2 4 1F1 2F1 -4.330127018922192982941510E-01
2 4 1F1 2G1 -7.319250547113999305626209E-02
2 4 1F1 2H1 -4.855041562276122268926315E-01
2 4 1G1 2D1 6.123724356957944703339081E-01
2 4 1G1 2D2 -2.227177015936869786116858E-01
2 4 1G1 2F1 3.726779962499649490048625E-01
2 4 1G1 2G1 3.618734322278729376165529E-01
2 4 1G1 2H1 -5.527707983925665979896280E-01
2 4 1G2 2D2 2.954684201426394651868179E-01
2 4 1G2 2F1 6.180165405913052856234913E-01
2 4 1G2 2G1 -7.092081432669752327768720E-01
2 4 1G2 2H1 -1.666666666666666574148081E-01
2 4 1I1 2G1 5.477225575051660744207993E-01
2 4 1I1 2H1 8.366600265340755626652935E-01
2 5 6S1 5D1 1.000000000000000000000000E+00
2 5 4P1 5D1 -5.000000000000000000000000E-01
2 5 4P1 3P1 -4.618802153517005959493247E-01
2 5 4P1 3P2 2.160246899469286663286738E-01
2 5 4P1 3D1 3.415650255319865880032637E-01
2 5 4P1 3F1 -4.320493798938573326573476E-01
2 5 4P1 3F2 4.320493798938573326573476E-01
2 5 4D1 5D1 -5.000000000000000000000000E-01
2 5 4D1 3P2 4.242640687119285103356958E-01
2 5 4D1 3D1 -4.391550328268399305819969E-01
2 5 4D1 3F2 -3.464101615137754608397813E-01
2 5 4D1 3G1 5.070925528371099666458122E-01
2 5 4F1 5D1 -5.000000000000000000000000E-01
2 5 4F1 3P1 -2.828427124746190068904639E-01
2 5 4F1 3P2 -1.511857892036908845856402E-01
2 5 4F1 3D1 -1.463850109422799861125242E-01
2 5 4F1 3F1 5.656854249492380137809278E-01
2 5 4F1 3F2 1.414213562373095034452319E-01
2 5 4F1 3G1 -3.585685828003181141454547E-01
2 5 4F1 3H1 -3.964124835860459161729352E-01
2 5 4G1 5D1 -5.000000000000000000000000E-01
2 5 4G1 3D1 2.439750182371333009356817E-01
2 5 4G1 3F2 -4.082482904638630172300395E-01
2 5 4G1 3G1 -3.964124835860459161729352E-01
2 5 4G1 3H1 6.055300708194983894117058E-01
2 5 2S1 3D1 7.745966692414834042779148E-01
2 5 2S1 1D2 -6.324555320336758823529522E-01
2 5 2P1 3P1 3.055050463303893293343094E-01
2 5 2P1 3P2 4.082482904638630172300395E-01
2 5 2P1 3D1 2.581988897471610977518708E-01
2 5 2P1 3F1 -3.265986323710904359884921E-01
2 5 2P1 3F2 -4.082482904638630172300395E-01
2 5 2P1 1D1 4.472135954999579277036048E-01
2 5 2P1 1D2 3.162277660168379411764761E-01
2 5 2P1 1F1 -3.162277660168379411764761E-01
2 5 2D1 3P1 -4.242640687119285103356958E-01
2 5 2D1 3F1 -6.480740698407859712304457E-01
2 5 2D1 1S1 3.464101615137754608397813E-01
2 5 2D1 1D1 -3.162277660168379411764761E-01
2 5 2D1 1G1 -4.242640687119285103356958E-01
2 5 2D2 3P1 -3.741657386773941107449559E-01
2 5 2D2 3P2 -2.000000000000000111022302E-01
2 5 2D2 3D1 4.140393356054125062470916E-01
2 5 2D2 3F1 2.449489742783177992357935E-01
2 5 2D2 3F2 -2.449489742783177992357935E-01
2 5 2D2 3G1 3.585685828003181141454547E-01
2 5 2D2 1S2 -2.000000000000000111022302E-01
2 5 2D2 1D1 3.585685828003181141454547E-01
2 5 2D2 1D2 -1.690308509457033037115536E-01
2 5 2D2 1F1 3.162277660168379411764761E-01
2 5 2D2 1G1 -2.672612419124243965384835E-01
2 5 2D2 1G2 -1.772810520855836735609756E-01
2 5 2D3 3P2 4.242640687119285103356958E-01
2 5 2D3 3D1 2.927700218845599722250483E-01
2 5 2D3 3F2 5.196152422706632467708232E-01
2 5 2D3 3G1 2.535462764185549833229061E-01
2 5 2D3 1S2 -2.828427124746190068904639E-01
2 5 2D3 1D2 3.585685828003181141454547E-01
2 5 2D3 1F1 2.236067977499789638518024E-01
2 5 2D3 1G2 3.760699023168052601562295E-01
2 5 2F1 3P1 4.000000000000000222044605E-01
2 5 2F1 3P2 -2.672612419124243965384835E-01
2 5 2F1 3D1 2.070196678027062531235458E-01
2 5 2F1 3F1 2.000000000000000111022302E-01
2 5 2F1 3F2 -2.500000000000000000000000E-01
2 5 2F1 3G1 -3.803194146278324749843591E-01
2 5 2F1 3H1 2.803059552906940754546383E-01
2 5 2F1 1D1 -2.390457218668787242599194E-01
2 5 2F1 1D2 2.535462764185549833229061E-01
