Ha, erg, 4.359745e-11
erg, kJ, 1.000000e-10
kJ, erg, 1.000000e+10
erg, cm^-1, 5.034119e+15
cm^-1, erg, 1.986445e-16
erg, Wh, 2.777778e-11
Wh, erg, 3.600000e+10
erg, MJ, 1.000000e-13
MJ, erg, 1.000000e+13
erg, Btu, 9.478134e-11
Btu, erg, 1.055060e+10
mG, G, 1.000000e-03
G, kG, 1.000000e-03
G, μT, 1.000000e+02
μT, G, 1.000000e-02
G, nT, 1.000000e+05
nT, G, 1.000000e-05
G, MG, 1.000000e-06
μG, G, 1.000000e-06
G, T, 1.000000e-04
G, kT, 1.000000e-07
kT, G, 1.000000e+07
mG, kG, 1.000000e-06
kG, mG, 1.000000e+06
mG, μT, 1.000000e-01
μT, mG, 1.000000e+01
mG, nT, 1.000000e+02
nT, mG, 1.000000e-02
mG, MG, 1.000000e-09
MG, mG, 1.000000e+09
mG, μG, 1.000000e+03
μG, mG, 1.000000e-03
mG, T, 1.000000e-07
T, mG, 1.000000e+07
mG, kT, 1.000000e-10
kT, mG, 1.000000e+10
GJ, MeV, 6.241512e+21
MeV, GJ, 1.602176e-22
GJ, cm^{-1}, 5.034119e+31
cm^{-1}, GJ, 1.986445e-32
GJ, kWh, 2.777778e+02
kWh, GJ, 3.600000e-03
GJ, Ry, 4.587426e+26
Ry, GJ, 2.179871e-27
GJ, TeV, 6.241512e+15
TeV, GJ, 1.602176e-16
GJ, Ha, 2.293712e+26
Ha, GJ, 4.359745e-27
GJ, kJ, 1.000000e+06
kJ, GJ, 1.000000e-06
GJ, cm^-1, 5.034119e+31
cm^-1, GJ, 1.986445e-32
GJ, Wh, 2.777778e+05
Wh, GJ, 3.600000e-06
GJ, MJ, 1.000000e+03
MJ, GJ, 1.000000e-03
GJ, Btu, 9.478134e+05
Btu, GJ, 1.055060e-06
μs, ps, 1.000000e+06
ps, μs, 1.000000e-06
μs, s, 1.000000e-06
MeV, cm^{-1}, 8.065544e+09
cm^{-1}, MeV, 1.239842e-10
MeV, kWh, 4.450489e-20
kWh, MeV, 2.246944e+19
MeV, Ry, 7.349864e+04
Ry, MeV, 1.360569e-05
MeV, TeV, 1.000000e-06
TeV, MeV, 1.000000e+06
MeV, Ha, 3.674932e+04
Ha, MeV, 2.721139e-05
MeV, kJ, 1.602176e-16
kJ, MeV, 6.241512e+15
MeV, cm^-1, 8.065544e+09
cm^-1, MeV, 1.239842e-10
MeV, Wh, 4.450489e-17
Wh, MeV, 2.246944e+16
MeV, MJ, 1.602176e-19
MJ, MeV, 6.241512e+18
MeV, Btu, 1.518564e-16
Btu, MeV, 6.585169e+15
kG, μT, 1.000000e+05
μT, kG, 1.000000e-05
kG, nT, 1.000000e+08
nT, kG, 1.000000e-08
kG, MG, 1.000000e-03
MG, kG, 1.000000e+03
kG, μG, 1.000000e+09
μG, kG, 1.000000e-09
kG, T, 1.000000e-01
T, kG, 1.000000e+01
kG, kT, 1.000000e-04
kT, kG, 1.000000e+04
GHz, THz, 1.000000e-03
THz, GHz, 1.000000e+03
GHz, Hz, 1.000000e+09
cm^{-1}, kWh, 5.517903e-30
kWh, cm^{-1}, 1.812283e+29
cm^{-1}, Ry, 9.112671e-06
Ry, cm^{-1}, 1.097373e+05
cm^{-1}, TeV, 1.239842e-16
TeV, cm^{-1}, 8.065544e+15
cm^{-1}, Ha, 4.556335e-06
Ha, cm^{-1}, 2.194746e+05
cm^{-1}, kJ, 1.986445e-26
kJ, cm^{-1}, 5.034119e+25
cm^{-1}, cm^-1, 1.000000e+00
cm^-1, cm^{-1}, 1.000000e+00
cm^{-1}, Wh, 5.517903e-27
Wh, cm^{-1}, 1.812283e+26
cm^{-1}, MJ, 1.986445e-29
MJ, cm^{-1}, 5.034119e+28
cm^{-1}, Btu, 1.882779e-26
Btu, cm^{-1}, 5.311297e+25
μT, nT, 1.000000e+03
nT, μT, 1.000000e-03
μT, MG, 1.000000e-08
MG, μT, 1.000000e+08
μT, μG, 1.000000e+04
μG, μT, 1.000000e-04
μT, T, 1.000000e-06
μT, kT, 1.000000e-09
kT, μT, 1.000000e+09
THz, Hz, 1.000000e+12
cm, nm, 1.000000e+07
nm, cm, 1.000000e-07
cm, in, 3.937008e-01
cm, Gm, 1.000000e-11
Gm, cm, 1.000000e+11
cm, m, 1.000000e-02
cm, Å, 1.000000e+08
Å, cm, 1.000000e-08
cm, pm, 1.000000e+10
pm, cm, 1.000000e-10
cm, fm, 1.000000e+13
fm, cm, 1.000000e-13
cm, Mm, 1.000000e-08
Mm, cm, 1.000000e+08
nm, in, 3.937008e-08
in, nm, 2.540000e+07
nm, Gm, 1.000000e-18
Gm, nm, 1.000000e+18
nm, m, 1.000000e-09
nm, Å, 1.000000e+01
Å, nm, 1.000000e-01
nm, pm, 1.000000e+03
pm, nm, 1.000000e-03
nm, fm, 1.000000e+06
fm, nm, 1.000000e-06
nm, Mm, 1.000000e-15
Mm, nm, 1.000000e+15
nT, MG, 1.000000e-11
MG, nT, 1.000000e+11
nT, μG, 1.000000e+01
μG, nT, 1.000000e-01
nT, T, 1.000000e-09
nT, kT, 1.000000e-12
kT, nT, 1.000000e+12
in, Gm, 2.540000e-11
Gm, in, 3.937008e+10
in, m, 2.540000e-02
m, in, 3.937008e+01
in, Å, 2.540000e+08
Å, in, 3.937008e-09
in, pm, 2.540000e+10
pm, in, 3.937008e-11
in, fm, 2.540000e+13
fm, in, 3.937008e-14
in, Mm, 2.540000e-08
Mm, in, 3.937008e+07
kWh, Ry, 1.651473e+24
Ry, kWh, 6.055199e-25
kWh, TeV, 2.246944e+13
TeV, kWh, 4.450489e-14
kWh, Ha, 8.257364e+23
Ha, kWh, 1.211040e-24
kWh, kJ, 3.600000e+03
kJ, kWh, 2.777778e-04
kWh, cm^-1, 1.812283e+29
cm^-1, kWh, 5.517903e-30
Wh, kWh, 1.000000e-03
kWh, MJ, 3.600000e+00
MJ, kWh, 2.777778e-01
kWh, Btu, 3.412128e+03
Btu, kWh, 2.930722e-04
Ry, TeV, 1.360569e-11
TeV, Ry, 7.349864e+10
Ry, Ha, 5.000000e-01
Ry, kJ, 2.179871e-21
